Nama Produk,Nomor Izin Edar,Produsen / Pendaftar,Kandungan BKO
Jamu Dewo,-,"CV. Jaya Dewa Kreasi, Yogyakarta",Deksametason
Jamu Dewo Less Sugar,-,"CV. Jaya Dewa Kreasi, Yogyakarta",Deksametason
Jamu Dua Singa,TR 182 614 841,"CV. Rochman Jaya, Banyuwangi",Deksametason
Jamu Jawa Dwipa Cap Klanceng Sakti Putra Pegal Linu,TR 193 623 281,"CV. Tirta Sakti, Banyuwangi",Deksametason
Jamu Jawa Dwipa Cap Rempah Dewa Pegal Linu,TR 183 616 891,"CV. Tirta Sakti, Banyuwangi",Deksametason
Kunci Sejati (kemasan botol plastik),TR 183 614 961,"CV. Putri Sejati, Banyuwangi",Deksametason
Kunci Wasiat (kemasan botol kaca),TR 183 614 951,"CV. Putri Sejati, Banyuwangi",Deksametason
Kunci Wasiat (kemasan botol plastik),TR 183 614 971,"CV. Putri Sejati, Banyuwangi",Deksametason
Kunci Wasiat (kemasan sachet),TR 193 627 211,"CV. Putri Sejati, Banyuwangi",Deksametason
Urinary Pain Relief Tablets,-,"Tot Jum Chew Pte Ltd, Singapore","Deksametason, Betametason, Klorfeniramin"
Shen Qi Dan Bai Nian Cao Yao,-,,"Deksametason, Diklofenak, Frusemid, Klorfeniramin"
Racik Sewu,TR 133 668 201,"CV. Putri Sakti Husada, Banyuwangi","Deksametason, Fenilbutason"
Vitacino,-,"CV Sekar Kusuma, Bogor","Deksametason, Guaifenesin, Klorfeniramin Maleat, Parasetamol, Piridoksin Hidroklorida, Siproheptadin Hidroklorida"
Tian Ma Tu Chung Seven Leave Ginseng,-,,"Deksametason, Klorfeniramin"
Ricalinu,-,,"Deksametason, Meloksikam, Tramadol"
Pegel Linu Cap Akar Daun,TR 193 629 121,"CV. Akar Daun, Banyuwangi","Deksametason, Parasetamol"
Sinatren,TR 944 322 109,"Jamu Tradisional Sinatren, Karawang","Deksametason, Parasetamol, Prednison"
Herbulgari,-,,"Deksametason, Piroksikam"
Max Health Hydro Pinapple Burn,-,,Desisobutilbenzil-sibutramin
Bravo for Him,-,,"Desmethyl Carbodenafil, Sildenafil, Tadalafil"
Lishou Slimming Coffee,-,,"Desmetilsibutramin, Sibutramin"
RMFLEX,-,,Diklofenak
Seven Day Slim Capsules,-,,"Diklofenak,  Lidokain"
Kyal Phyu for Rheumatic arthritis and aching,-,Kyal Phyu Traditional Medicine Production,"Diklofenak, Parasetamol"
Tite Kyet- ford arthalgia,-,,"Diklofenak, Parasetamol"
Resurrection,-,,"Dypirone, Sildenafil, Tadalafil"
Chuanpect Pil,TR 122 466 681,"PT. Sinar Herba Radix, Tangerang","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Forvidna,TR 202 379 701,"PT. Sinar Herba Radix, Tangerang","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Ji Zhi Tang Jiang,TI 114 646 031,"PT. Sky One Health Care, Jakarta","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Lianhua Qingwen Jiaonang (Tanpa Izin Edar),-,"Shijiazhuang Yiling Pharmaceutical Co. Ltd, China","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Akar Ginseng Plus Buah Merah Asam Urat Flu Tulang,TR 003404733,PJ.Akar Ginseng Jakarta,Fenilbutason
Pil Kecethit,Depkes RI No TDP 115062551809,PJ Muncul Baru Jateng,Fenilbutason
Zhen Qi Jiang Tang Jiao Nang,TI 124 346 451,Harbin Tongyitang Pharmaceutical CO LTD,"Glibenklamid, Metformin"
Zhen Qi Jiang Tang Jiao Nang,POM TI 124346451,Harbin Tong Yi Tang Pharmaceutical Co Ltd,"Glibenklamid, Metformin"
Jamu Anlinu Cap Prono Jiwo,-,"UD Prono Jiwo, Rogojampi Banyuwangi","Ibuprofen, Prednisolon"
C&R Normal,-,-,"Fenofibrate, Kafein"
C&R Double Strong,-,-,"Furosemid, Kafein"
Buah Merah Papua,POM TR 003 202 652,PJ Jaya Utama Jawa,"Kafein, Parasetamol"
Bunga Mujarab,POM TR 003 200 961,PJ Bima Jaya Jateng,"Kafein, Parasetamol"
Rempah Kulit Manggis & Daun Sirsak,POM TR 082 485 211,-,"Kafein, Parasetamol"
Urat Madu Gold,Depkes RI TR 2011052625,PJ Air Madu Magelang,"Kafein, Parasetamol, Sildenafil Sitrat"
Cindelaras Capsul Lara Awak,Depkes. RI. No. TR. 001504411,"PJ. Bumi Putra Atmojo, jawa tengah",Parasetamol
Cindelaras Serbuk Lara Awak,Depkes. RI. No. TR. 001504411,"PJ. Bumi Putra Atmojo, jawa tengah",Parasetamol
Gatal-Gatal (Eksim) Cobra India,-,PT Serbuk Manjur Jaya,Parasetamol
Kemanden 1000 Nyeri Tulang,POM TR 033 142 532,PJ Sari Alami Jateng,Parasetamol
Ramuan Madura Asam Urat Flu Tulang,TR 023023493,PJ Omega,Parasetamol
Super Kecetit Asam Urat,-,PJ Muncul Jaya,Parasetamol
Crystal Black,POM TR 003404737,"PD. Djawi, Jakarta","Parasetamol, Sildenafil"
Buaya Jantan,TR 003 404 241,PJ. Herbalindo Jaya,Sildenafil
Landaq Extra Strong,Depkes RI no. 063237552,PJ. Landaq Blora,Sildenafil
Obat Kuat Dan Tahan Lama Galax,POM TR. 001 508 741,SM Jaya,Sildenafil
Don Juan X,-,-,Sildenafil Sitrat
Fly Kunchongfen,-,-,Sildenafil Sitrat
Kopi Stamina SB,TR 008882772,PJ. Sari Buana Jkt,Sildenafil Sitrat
Magic Green Tea,Dinkes PIRT 2093275020295-19,-,Sildenafil Sitrat
Magrafit (Produk Palsu),-,-,Sildenafil Sitrat
Mettal Kuda Liar,TR 993 299 701,PJ. Kuda Sumbawa,Sildenafil Sitrat
Obat Kuat X Class @Ne,-,"PJ. Kidang Mas, Makassar",Sildenafil Sitrat
Tongkat Arab,TR 034334842,"PJ. Intan Perkasa, Jakarta",Sildenafil Sitrat
Samyun Wan Kapsul,TI 004 515 915,PT Sentosa Usaha Mandiri,Siproheptadin
Asid Urik,TI 094 407 753,MCM Phamaceutical (M) Sdn. Bhd.,Allupurinol
Pil Tupai Jantan Asli,-,Perusahaan Nyonya Marketing enterprise Sarawak,"Asam Mefenamat, Deksametason"
Lemon Fit,-,"Body perfector Resources, Selangor","CTM, Deksametason, Furosemid, Sibutramin"
Simbatren,-,PJ Rusa Emas,"CTM, Parasetamol"
Asam Urat Cap Madu Tawon,POM TR.053 542 602,CV. Cipta Utama Jawa Timur,Deksametason
Pegal Linu Cap Madu Tawon,POM TR.053 542 602,CV. Cipta Utama Jawa Timur,Deksametason
Jamu Asam Urat Cap Dua Raja Singa,TR. 053350501,"UD. Sehat Perkasa, Jatim - Indonesia","Deksametason, Fenilbutason"
Kuda Liar Sumbawa,-,PJ Prima Sehat Tangerang,"Deksametason, Fenilbutason"
Prosehat Asam Urat,Depkes RI TR 993 003 671,PJ Putra Makmur Jateng Indonesia,"Deksametason, Parasetamol, Prednison"
Prosehat Asam Urat,Depkes RI TR 993 003 671,PJ Putra Makmur Jateng,"Deksametason, Parasetamol, Prednison"
Govit,-,-,"Deksametason, Siproheptadin"
Jamu Jawa Asli Cap Sari Widoro (Lalurat),TR 063 660 511,UD Sumber Manjur,Fenilbutason
Jamu Pegal Linu Asam Urat Sari Widoro (Lalurat),TR 063 660 511,UD Sumber Manjur,Fenilbutason
Ginseng Kianpi Pil,-,"Sian Chinese Drug Pharmaceutical Works, Sian China","Klorfeniramin Maleat, Siproheptadin"
Kapsul Asy Syifa Al Karomah,TR No.KDP 004371169,Perusahaan Jamu Al Karomah Indonesia,Parasetamol
C & R,-,,Sibutramin Hidroklorida
Obat Kuat dan Tahan Lama Pagi,TR 2113053027,PJ Bintang Pagi Surabaya,Sildenafil Sitrat
Shenzhi Bao Capsule,TI 074324611,"Jilin Biology Research Institute Co. Ltd, China","Tadalafil, Vardenafil Hidroklorida"
Pegal Linu Madu Klanceng,TR 063659731,"UD Telaga Ayu Mandiri, Jawa Timur, Indonesia",Fenilbutason
Pegel Linu Asam Urat Jago Joyokusumo,-,CV Nusantara Jaya Jatim Banyuwangi,Fenilbutason
Pegel Linu Asam Urat Madu Klanceng,TR 063659731,"UD Telaga Ayu Mandiri, Banyuwangi, Jawa Timur",Fenilbutason
Tawon Hutan kapsul,POM TR C 001400127006,PT Jaya Sentana Indonesia,Fenilbutason
Yaostein BS kapsul,POM TR 061738555,"PJ Pharma Herbal Indonesia, Jakarta","Fenilbutason, Parasetamol"
Jamu Super On Jago Perkasa,-,CV Nusantara Jaya Jatim Indonesia,"Fenilbutason, Sildenafil Sitrat"
Xin Huang Pian,TI 124546861,Xiamen Traditional Chinese Medicine Co. Ltd,Indometasin
Anti Loyo Super Tangkur Ginseng,Depkes RI No. 060/IKOT/BWI/97,"CV Pedang Kipas, Banyuwangi","Kafein, Natrium Diklofenak, Parasetamol"
Jamu Racik Spesial Jawa Asli,Depkes RI No. 060/IKOT/BWI/97,"CV Pedang Kipas, Banyuwangi","Kafein, Natrium Diklofenak, Parasetamol"
Carnoherbal tablet,POM TR 113513151,PT Indo Sehat Abadi,"Kafein, Parasetamol"
Asam Urat Klanceng Putih,IKOT: 132/IKOT/JATIM/VII/2000,"CV Pedang Kipas, Banyuwangi","Natrium Diklofenak, Parasetamol"
Akar Mujarab serbuk,POM TR 993997200,"PJ Pandu Siwi Sentosa, Jakarta",Parasetamol
Asmur Asam Urat Flu Tulang serbuk,POM TR 033228621,PJ SS Sari,Parasetamol
Jawara kapsul,TR 123329641,CV Jampi (Jamu Terapi Indonesia) Tangerang Indonesia,"Parasetamol, Sildenafil sitrat"
Tangkur Madu,P-IRT 1.09.3401.03.502,"Tangkur Madu Indonesia, Wates","Parasetamol, Sildenafil sitrat"
Tangkur Perkasa kapsul,TR 993203771,PJ Panca Sehat Jaya Jateng - Indonesia,"Parasetamol, Sildenafil sitrat"
Purba Salam serbuk,TR 013212881,PJ Bintang Dua Kali Panas - Indonesia,Piroksikam
Tong Mai Jiaonang,TI 144348561,"Shanxi Renyuantang Pharmaceutical Co., Ltd",Propoksifenilhidroksi homosildenafil
ELT Guren,TR 163297141,"CV Basmallah Food, Bekasi","Propoksifenilhidroksi homosildenafil, Thiodimetilsildenafil"
Body Slim Herbal,-,BSH Advanced Technology & Strong Formula,Sibutramin Hidroklorida
Green World Slimming Capsule,TI 124347171,"World (Tianjin) Nutrition & Health Food Co. Ltd, China",Sibutramin Hidroklorida
Kapsul Pasak Bumi,TR 123366551,"Griya An Nur, Bekasi",Sildenafil sitrat
KJX kapsul,POM TR 163397301,"CV GZH, Tangerang",Sildenafil sitrat
New Provitas Sehat Pria kapsul,TR 152384051,"PT Sinar Kaliman Sehat, Jakarta - Indonesia",Sildenafil sitrat
Pandawa kapsul,POM TR 163396441,"CV Vermindo Internasional, Bogor - Indonesia",Sildenafil sitrat
Purwoceng kapsul,TR 133367031,"CV Toga Nusantara, Bekasi - Indonesia",Sildenafil sitrat
Sangrenggo kapsul,TR 143383601,"Griya An Nur, Bekasi",Sildenafil sitrat
Trica Juice serbuk,-,Buatan Malaysia (Made in Malaysia),Sildenafil sitrat
Tangkur Cobra serbuk,TR 093211141,PT Maju Jaya Bersama Indonesia,"Sildenafil Sitrat, Tadalafil"
Gemuk Sehat sebuk,TR 003200121,"PJ Jaya Husada, Tuban, Jawa Timur, Indonesia",Siproheptadin Hidroklorida
Romeo Plus serbuk,DINKES no 5103674030225-20,PT Mitra Abadi Nutraceutical / www.ernestherbal.com,Thiodimetilsildenafil
Asamulin kapsul,TR 062355311,IP Farma - Indonesia,Allupurinol
Bioslim Herbal Tablet,POM TI 054519281,"BOSS Pharmaceuticals AG, Switzerland",Bisakodil
Wan Tong Pegal Linu cairan obat dalam,TR 073375011,PJ Lebah Sakti Herbal,"Deksametason, Fenilbutason"
Bunga Rosela Ramuan Tradisional,TR 846057328,"PJ Sari Bunga Alami, Jateng - Indonesia","Diklofenak, Parasetamol"
Asam Urat Kayu Sanrego kapsul,Depkes PO 03.02.4.1.3.13347,Sanrego Horse,Fenilbutason
Dewa Kayu Kayu Sanrego,Depkes RI PIRT 2093275010498-21,Mandiri Herbal,Fenilbutason
Kayu Sanrego Asam Urat & Rematik kapsul,Din.kes RI 2093275010498,Mandiri Herbal,Fenilbutason
Pegal Linu Asam Urat,-,CV Nusantara Jaya Jatim Indonesia,Fenilbutason
Than Niao Pao kapsul,TI 104309735,"Megas Plus Medical, Hongkong",Glibenklamid
Wei Yi Wang,TI 114 344 531,"Jiangsu Haihong Pharmaceutical Co. Ltd., China",Glibenklamid
Penafit,TR 053 342 781,"PT Sari Pusaka, Jakarta","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
Tongkat,TR 113 324 581,"PT Hari Fatma, Jakarta","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
Es Be,TR 113 324 511,"PT Hari Fatma, Jakarta",Hidroksithiohomosildenafil
Ko Pel,TR 113 324 591,"PT Hari Fatma, Jakarta",Hidroksithiohomosildenafil
Bulesa,TR 103 318 181,CV Jampi (Jamu Terapi Indonesia),"Kafein, Parasetamol, Sildenafil Sitrat"
Japasa,TR 103 318 171,CV Jampi (Jamu Terapi Indonesia),"Kafein, Parasetamol, Sildenafil Sitrat"
Longplay Herbal for Men kapsul,TR 112328031,"PJ Akar Sehat, Bandung - Indonesia","Kafein, Sildenafil Sitrat"
Naga Api cairan obat dalam,-,PJ Jaya Wardana Rogojampi,"Kafein, Sildenafil Sitrat"
Asam Urat + Ginseng Corea serbuk,TR 033222792,PD Shadewo Sinar Jaya Purwokerto,Natrium Diklofenak
KBM Kapsul Asam Urat,TR 003200521,PJ Sari Manjur Alami Indonesia,Natrium Diklofenak
SBM Extra Strong,TR 053246391,PJ Sumber Manjur Alami Indonesia,Natrium Diklofenak
Sam Shi Asam Urat Pengapuran kapsul,TR 053218428,PJ Gwan San Jatim Indonesia,"Natrium Diklofenak, Piroksikam"
Daun Mujarab,TR 073368521,PJ Warisan Jaya Indonesia,Parasetamol
Tolak Linu,TR 001 508 731,PT SM Jaya Jateng,Parasetamol
X-Hot Extra Strong kapsul,TR 015964788,PJ Akar Wangi,"Parasetamol, Sildenafil"
Tawon,TR 090224332,PT Maju Bersama,Piroksikam
Slimplus,TR 113 322 611,Citra Mandiri Cemerlang,Sibutramin Hidroklorida
Jamu Stamina Sepia,TR 05334821,PJ Sumber Makmur Mandiri,Sildenafil sitrat
Mahkota Herbal Supplement for Men,TR 072367671,IP Farma Indonesia,Sildenafil sitrat
Pendekar,TR 143 278 221,"CV Sehat Sejahtera, Cilacap",Sildenafil sitrat
Power-Fit kapsul,TR 053342123,"PT Duta Cemerlang, Jakarta",Sildenafil sitrat
Pasama,TR 043 336 351,"PT Akar Pinang, Jawa Barat","Sildenafil Sitrat, Thiosildenafil"
Ginseng Kianpi Capsule,TI 104375415,"CV Anugerah Makmur Abadi, Semarang",Siproheptadin Hidroklorida
Natural Herbal Penggemuk Badan,TR 032329911,"PT Sari Herbal, Jakarta - Indonesia",Siproheptadin Hidroklorida
Czar,TR 101 315 801,"PT Aditama Raya Farmindo, Surabaya",Tadalafil
Truman,TI 024 304 341,"Nanzing Zhenren Health Giving Co, Ltd","Tadalafil, Thiodimetilsildenafil"
Vigpower Capsule,TI 124 346 481,"World (Tianjin) Nutrition & Health Food Co., Ltd","Tadalafil, Vardenafil Hidroklorida"
Ailos,TR 103 319 651,PT Esa Mulia,Thiodimetilsildenafil
Linusend,TR 073 374 311,PT IP Farma,Allupurinol
Rica Linu,TR 062 262 321,IP Farma,Allupurinol
Ricasamlang,TR 062 355 311,IP Farma,Allupurinol
Ricasamlang Asam Urat Flu Tulang,TR 062 255 521,"PT IP Farma, Tangerang",Allupurinol
Samrenu,TR 113 323 411,Citra Mandiri Cemerlang,Allupurinol
Lagirisa Herbal 44,DBL 100650560141,Klinik Lagirisa Herbal Raha - Indonesia,Deksametason
Seven Leave Ginseng,TI 114435316,CV Anugrah Mandiri Batam,Deksametason
Seven Leave Ginseng pil,TI 104435329,,Deksametason
Tian Ma Tu Chung Seven Leave Ginseng pil,TI 104435329,,Deksametason
Raja Tawon cairan obat dalam,TR 972689013,CV Tjipta Bahagia Banyuwangi,"Deksametason, Fenilbutason"
Aura Kapsul Asam Urat,-,PJ Citra Rejeki Mandiri Indonesia,Fenilbutason
Jamu Jawa Asli Cap Akar Rempah Alam,TR 973689013,PJ Muncul Banyuwangi,Fenilbutason
Jamu Jawa Dwipa Cap Mahkota Dewa cairan obat dalam,TR 013611121,CV MA Jawa Timur,Fenilbutason
Extra Murinda,TR 053345527,"PT Iztana Zawiyah, Jakarta Indonesia","Fenilbutason, Natrium Diklofenak, Parasetamol"
Jamu Asam Urat ++ Akut Menahun,TR 134334842,PJ Sampokong Jaya Cina Tiongkok,"Fenilbutason, Natrium Diklofenak, Parasetamol"
Jamu Lotus,-,PJ Alam Segar Krian - Indonesia,"Fenilbutason, Natrium Diklofenak, Parasetamol"
Asmat,TR 272015593,"PJ Putri Makasar, Makasar - Indonesia","Fenilbutason, Parasetamol"
Bunga Sakti Plus Sirih Merah,TR 993703181,PJ Bunga Sakti Jateng Indonesia,"Fenilbutason, Parasetamol"
Daun Sambung Nyowo,TDP 1108700617,PJ Usfi Jaya Jawa Tengah - Indonesia,"Fenilbutason, Parasetamol"
Simurat 99,TR 003486781,Perusahaan Jamu Dulang Mas Jakarta -Indonesia,"Fenilbutason, Parasetamol"
Sledri Mahkota Dewa Asam Urat Flu Tulang,TR 993299431,PJ Sido Jaya Jawa -Indonesia,"Fenilbutason, Parasetamol"
Erefit,TR 101 320 271,"PT Dipa Pharmalab Intersains, Majalengka","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
Gagah Perkasa,TR 132 373 761,"PT Herbalindo Mandiri Sentosa, Tangerang","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
Lanza,TR 132 373 771,"PT Herbalindo Mandiri Sentosa, Tangerang","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
LT,TR 123 366 291,"PT Mahkotadewa Indonesia, Jakarta","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
Soprima,TR 132 372 311,"PT Puspa Pharma, Jakarta","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
Purwoceng Xtra,TR 111 324 351,"PT Industri Jamu Cap Jago, Semarang","Hidroksihomosildenafil, Hidroksithiohomosildenafil, Thiosildenafil"
Reksicap,TR 053 348 621,"PT Alomampa Persada, Jakarta","Hidroksihomosildenafil, Hidroksithiohomosildenafil, Thiosildenafil"
Reksicap Gold,TR 053 348 621,"PT Alomampa Persada, Jakarta","Hidroksihomosildenafil, Hidroksithiohomosildenafil, Thiosildenafil"
Magra,TR 142 379 681,"PT Herbalindo Mandiri Sentosa, Tangerang","Hidroksihomosildenafil, Thiosildenafil"
Ever Joy,SD 031 311 031,"PT Harsen Laboratories, Jakarta",Hidroksithiohomosildenafil
Pasangma,TR 132 373 421,"PT Dipa Pharmalab Intersains, Majalengka",Hidroksithiohomosildenafil
Sparta X,SD 081 335 111,"PT Dipa Pharmalab Intersains, Majalengka",Hidroksithiohomosildenafil
Everon,TR 132 368 281,"PT Alomampa Persada, Jakarta","Hidroksithiohomosildenafil, Thiosildenafil"
Maxio,TR 142 379 351,"PT Midix Graha Farma, Sukabumi","Hidroksithiohomosildenafil, Thiosildenafil"
New Prozos,TR 113 326 581,"PT Saraka Mandiri Semesta, Bogor","Hidroksithiohomosildenafil, Thiosildenafil"
Jiangsuan Zhitong Capsule,TI 064 323 221,Xiamen Traditional Chinese Medicines,"Indometasin, Kafein"
Caissar,TR 104322341,"PJ Sinar Bulan, Probolinggo","Kafein, Sildenafil Sitrat"
Cap Payung Super Ramuan Tradisional Madura diracik sempurna dan halal oleh K. Sa,Depkes RI 110/IKOT/Jatim/ XI/1999,CV Wahyu Ilahi,Natrium Diklofenak
Jamu Asam Urat dan Pengapuran Xian Tong,TR 073739584,PT Warisan Jaya,"Natrium Diklofenak, Parasetamol"
Kapsul Asam Urat Laba-Laba,TR 113657432,Indo Sehat Abadi,"Natrium Diklofenak, Parasetamol"
Mahhabbah kapsul,TR 113 327 841,PT Lutfiah L Sakinah Jakarta - Indonesia,"Natrium Diklofenak, Parasetamol"
Amutik cairan obat dalam,TR 123 665 121,"IKOT Kunci Mas, Banyuwangi",Parasetamol
Asam Urat + Flu Tulang Ginseng Plus (Pegal Linu),TR 003201531,PJ Serbuk Alian Jateng Indonesia,Parasetamol
Asmulin serbuk,TR 113732005,"Indo Sehat Abadi, Indonesia",Parasetamol
Borneo Jamu Pegal Linu dan Asam Urat,TR 053348168,PJ Ramuan Dayak Martapura Banjarmasin,Parasetamol
Buah Merah Asam Urat Flu Tulang,TR 993728003,PJ Rempah Jaya Papua Jateng Indonesia,Parasetamol
Buah Rosela,TR 846057288,"PJ Sari Buah Alam, Jateng - Indonesia",Parasetamol
Daun Encok,TR 952299721,UD Lantaran Jaya,Parasetamol
Daun Madu,TR 993256492,PJ Daun Alami Jateng Indonesia,Parasetamol
Duta Sehat kapsul,TDP 11085606093,PJ Duta Sehat Jateng Indonesia,Parasetamol
Ekstrak Kapsul Pace - G,Depkes RI No. 11082600024,"PJ Sinar Walet, Jawa Tengah",Parasetamol
Extra Binahong,TR 026761327,"PJ Padha Jaya Abadi, Surabaya - Indonesia",Parasetamol
Extrak Kapsul Tujuh Daun,TR 003998331,"PJ Rempah Alam Jawa, Jateng - Indonesia",Parasetamol
Laba Laba Jamu Asam Urat,TR 113657431,Indo Sehat Abadi - Indonesia,Parasetamol
Obat kuat dan Tahan Lama Urat Halus,TR 004661051,PJ Makasar Jateng Indonesia,Parasetamol
Osagi Obat Sakit Gigi,-,PJ Sukses Makmur Solo - Indonesia,Parasetamol
Potre Koneng,Depkes RI 893/13.20/ HPK/IV/99,PD Potre Koneng Jawa Timur Indonesia,Parasetamol
Sesak Nafas + Batuk Asthma Ginseng Plus,TR 003201531,PJ Serbuk Alian Jateng Indonesia,Parasetamol
Shing See Bebas Nyeri Lambung,TR 083275775,Sido Maju Indonesia,Parasetamol
Top Jaya Sakti Gemuk Sehat,TR 003200431,PJ Amrih Sehat Jateng Indonesia,Parasetamol
3 Kuda,TR 003202921,"PJ Pasuma X, Jateng -Indonesia","Parasetamol, Sildenafil sitrat"
Jamu Kuat Urat Naga,TR 003202841,PJ Onta Mas Jateng Indonesia,"Parasetamol, Sildenafil sitrat"
Kuda Sumbawa Obat kuat dan Tahan Lama,TR 034334841,PJ Kuda Sumbawa Indonesia,"Parasetamol, Sildenafil sitrat"
Max Jozz,TR 993205581,PT Neurotransmiter Indonesia,"Parasetamol, Sildenafil sitrat"
